Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Sector_Group
Prescinto,2016,Gujarat,Solar,prescinto is the brain of a solar plant delivering actionable intelligence to increase generation.,Puneet Jaggi,"Venture Catalysts, 9Unicorns Accelerator Fund",3500000.0,Seed,2021,Environmental & Sustainability
Myglamm,2015,Mumbai,Beauty products,myglamm is a direct-to-consumer brand of award winning european beauty products.,Darpan Sanghvi,Bessemer Venture Partners,20000000.0,Series C,2021,Fashion & Lifestyle
Chirrup,2020,Bangalore,Gaming,video integrated social-gaming platform,"Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, Iseed, First Cheque, 3.0 Fund.",300000.0,Pre-Seed,2021,Media & Entertainment
Policybazaar,2008,Gurgaon,Insurance,policybazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya","Falcon Edge Capital, White Oak Global Advisors",75000000.0,Unknown,2021,Finance & FinTech
Livve Homes,2017,Bangalore,Rental space,"india's homegrown online portal, championing the region for a brighter, more exciting livvable future. right from simply connecting owners and tenants and to managing everything in between",Maya Lakshman,Angel Investors,5000000.0,Unknown,2021,Real Estate & Construction
Juicy Chemistry,2014,Coimbatore,HealthCare,juicy chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher.",Akya Ventures,6300000.0,Series A,2021,Health & Life Sciences
Svasti Microfinance,2008,Mumbai,FinTech,svasti works with urban slum dwellers women microentrepreneurs.,"Arunkumar Padmanabhan, Narayanan Subramaniam","Kayenne Ventures, Nordic Microfinance Initiative",4000000.0,Unknown,2021,Finance & FinTech
Nexprt,2020,New Delhi,Consulting,nexprt solutions offers end-to-end and 100% customized import solutions.,Harsha Vardhan K,Titan Capital,2000000.0,Unknown,2021,Consulting & Professional Services
Wysa,2015,Bangalore,AI startup,wysa is an ai conversational agent that has been shown to help improve mental health,"Jo Aggarwal, Ramakant Vempati","Kae Capital, Pi Ventures",0.0,Unknown,2021,Data & AI
Ankur Capital,2011,Mumbai,FinTech,early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion indians.,Ritu Verma,Undisclosed,40000000.0,Unknown,2021,Finance & FinTech
Indifi,2015,Gurgaon,FinTech,indifi technologies is a digital lending platform that offers loans to those that have potential and intent.,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India",5000000.0,Debt,2021,Finance & FinTech
Firmway,2016,Mumbai,FinTech,firmway is a platform that digitizes balance confirmation and reconciliation process.,"Prashant Gupta, Vivek Chandan",Undisclosed,0.0,Pre-Seed,2021,Finance & FinTech
Say Cheese,2020,Mumbai,FemTech,"say cheese is the first holistic women-happiness platform in india, focused to increase the happiness of women through personalized solutions",Rajpreet Kaur,Undisclosed,1000000.0,Seed,2021,Other
Indic Inspirations,2019,Pune,Cultural,"indian souvenirs online that reflect indian tradition, culture & stories. best for personal gifting and corporate gifting.",Sunil Jalihal,Marquee Investors,300000.0,Unknown,2021,Other
Bimaplan,2020,Mumbai,FinTech,affordable insurance for the next billion indians,Vikul Goyal,"Titan Capital, Y Combinator",500000.0,Seed,2021,Finance & FinTech
Yap,2014,Chennai,FinTech,yap is the api platform for banking and payments products in asia. more than 200 fintechs across asia rely on yap,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",10000000.0,Series B,2021,Finance & FinTech
Leap Finance,2019,Bangalore,FinTech,leap finance is a fintech startup for indian students pursuing international higher education,Vaibhav Singh,Jungle Ventures,17000000.0,Series B,2021,Finance & FinTech
Blacksoil Nbfc,2010,Mumbai,FinTech,blacksoil capital has transformed into an alternative nbfc and aif fund platform with an expertise to finance multiple sectors.,Mohinder Pal Bansal,Undisclosed,3000000.0,Unknown,2021,Finance & FinTech
Oyo,2012,Gurgaon,Hospitality,oyo operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,200000000.0,Unknown,2021,Health & Life Sciences
Max Healthcare,2000,New Delhi,HealthCare,max healthcare is one of the leading chain of hospitals in india.,Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare",140000000.0,Unknown,2021,Health & Life Sciences
4Basecare,2018,Bangalore,HealthTech,4basecare develops a unified and patient-centric ecosystem to fight cancer.,"Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, Growx Ventures, Season Two Ventures",2000000.0,Pre-Series A,2021,Health & Life Sciences
Ezstays,2019,New Delhi,EdTech,"ezstays is a leading student-life network, providing hostels and pg accommodation with top-tier living facilities at the best prices.","Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",Richard Rekhy,400000.0,Seed,2021,Education
